number,value,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_Accuracy,user_attrs_RMSE,user_attrs_max_depth,user_attrs_min_samples_leaf,user_attrs_min_samples_split,user_attrs_n_estimators
43,0.014318953501105841,20,1,2,467,0.5493827160493827,0.014318953501105841,20,1,2,467
31,0.014334949270155628,19,1,2,487,0.5432098765432098,0.014334949270155628,19,1,2,487
30,0.01433936640534591,19,1,2,498,0.5401234567901234,0.01433936640534591,19,1,2,498
35,0.01434523127148101,19,1,4,369,0.5493827160493827,0.01434523127148101,19,1,4,369
42,0.014346401277961978,19,1,3,465,0.5432098765432098,0.014346401277961978,19,1,3,465
41,0.01434741716094128,19,1,3,434,0.5370370370370371,0.01434741716094128,19,1,3,434
34,0.014347764750198331,19,1,3,448,0.5401234567901234,0.014347764750198331,19,1,3,448
32,0.014349823937478077,19,1,3,439,0.5401234567901234,0.014349823937478077,19,1,3,439
33,0.014353192039827803,20,1,3,447,0.5370370370370371,0.014353192039827803,20,1,3,447
36,0.01437384151337336,19,1,6,379,0.5370370370370371,0.01437384151337336,19,1,6,379
25,0.014400637043428305,16,2,2,488,0.5277777777777778,0.014400637043428305,16,2,2,488
46,0.014403759594393557,18,2,2,392,0.5246913580246914,0.014403759594393557,18,2,2,392
18,0.014415759133000064,18,2,5,411,0.5277777777777778,0.014415759133000064,18,2,5,411
21,0.014416924952706333,17,2,2,500,0.5339506172839507,0.014416924952706333,17,2,2,500
20,0.014416924952706333,17,2,2,500,0.5339506172839507,0.014416924952706333,17,2,2,500
14,0.014423190526192158,17,1,8,311,0.5216049382716049,0.014423190526192158,17,1,8,311
44,0.014425194965579662,20,2,2,469,0.5277777777777778,0.014425194965579662,20,2,2,469
12,0.014426618453003996,20,1,8,351,0.5246913580246914,0.014426618453003996,20,1,8,351
13,0.014428391638338417,16,1,8,339,0.5216049382716049,0.014428391638338417,16,1,8,339
27,0.014434976154656286,16,2,5,405,0.5308641975308642,0.014434976154656286,16,2,5,405
22,0.01443713022485705,18,2,2,494,0.5246913580246914,0.01443713022485705,18,2,2,494
40,0.014439732930924957,18,3,4,248,0.5123456790123457,0.014439732930924957,18,3,4,248
29,0.014486420854232927,15,3,5,471,0.5092592592592593,0.014486420854232927,15,3,5,471
24,0.014499914144017457,18,3,5,430,0.5061728395061729,0.014499914144017457,18,3,5,430
19,0.014524826986940444,12,3,4,406,0.5030864197530864,0.014524826986940444,12,3,4,406
0,0.014540036476961313,14,1,9,333,0.5092592592592593,0.014540036476961313,14,1,9,333
11,0.014542638180407273,20,3,7,378,0.5061728395061729,0.014542638180407273,20,3,7,378
28,0.014724534833990001,11,4,3,398,0.49691358024691357,0.014724534833990001,11,4,3,398
1,0.014726394580160545,18,4,6,364,0.5092592592592593,0.014726394580160545,18,4,6,364
23,0.014740135699088282,16,4,3,429,0.5,0.014740135699088282,16,4,3,429
45,0.014761039418360045,9,1,4,471,0.42901234567901236,0.014761039418360045,9,1,4,471
48,0.014794966209839777,20,2,12,458,0.4783950617283951,0.014794966209839777,20,2,12,458
9,0.0148045791268373,10,1,11,132,0.4382716049382716,0.0148045791268373,10,1,11,132
5,0.014860964965090059,15,4,11,188,0.49074074074074076,0.014860964965090059,15,4,11,188
3,0.014918851107331675,14,5,2,229,0.46296296296296297,0.014918851107331675,14,5,2,229
38,0.014980142036354739,19,5,6,475,0.4660493827160494,0.014980142036354739,19,5,6,475
16,0.014980536425168098,20,3,15,284,0.4351851851851852,0.014980536425168098,20,3,15,284
10,0.015009655553163422,14,2,14,33,0.4444444444444444,0.015009655553163422,14,2,14,33
49,0.01510793101978815,14,6,6,64,0.4537037037037037,0.01510793101978815,14,6,6,64
26,0.01510865935214212,13,6,3,448,0.44753086419753085,0.01510865935214212,13,6,3,448
17,0.015227200014988652,12,7,8,287,0.43209876543209874,0.015227200014988652,12,7,8,287
8,0.015272465582292193,19,7,4,149,0.42901234567901236,0.015272465582292193,19,7,4,149
39,0.01541706786706412,15,8,2,369,0.39814814814814814,0.01541706786706412,15,8,2,369
6,0.01576898587799336,8,5,10,213,0.30246913580246915,0.01576898587799336,8,5,10,213
15,0.01598462406247676,17,10,4,461,0.3765432098765432,0.01598462406247676,17,10,4,461
2,0.016202416064821087,8,9,11,472,0.2808641975308642,0.016202416064821087,8,9,11,472
37,0.02046371475340721,6,1,4,317,0.05246913580246913,0.02046371475340721,6,1,4,317
4,0.024573454517908388,5,2,6,191,0.015432098765432098,0.024573454517908388,5,2,6,191
7,0.029013670408741542,4,7,12,208,0.0,0.029013670408741542,4,7,12,208
47,0.0351210280325805,3,1,9,420,0.0,0.0351210280325805,3,1,9,420
